areaNm,touNum,baseYmd,AccumulateCovid19,increase,localIncrease,CovidForeigner
부산광역시,356450.5,2022-01-21,28711.0,216.0,207.0,9.0
대구광역시,252199.5,2022-01-21,26120.0,388.0,386.0,2.0
인천광역시,370118.0,2022-01-21,41919.0,452.0,438.0,14.0
광주광역시,162050.0,2022-01-21,11297.0,242.0,237.0,5.0
대전광역시,202891.5,2022-01-21,13587.0,111.0,111.0,0.0
울산광역시,122136.0,2022-01-21,7657.0,82.0,78.0,4.0
세종특별자치시,74581.5,2022-01-21,2440.0,17.0,17.0,0.0
경기도,1523417.0,2022-01-21,218009.0,2431.0,2349.0,82.0
강원도,347130.0,2022-01-21,14258.0,161.0,136.0,25.0
충청북도,247845.5,2022-01-21,12898.0,87.0,85.0,2.0
충청남도,347606.0,2022-01-21,20735.0,193.0,183.0,10.0
전라북도,211186.5,2022-01-21,11691.0,165.0,159.0,6.0
전라남도,279090.0,2022-01-21,8448.0,199.0,198.0,1.0
경상북도,382774.0,2022-01-21,17592.0,234.0,225.0,9.0
경상남도,364952.0,2022-01-21,23391.0,188.0,178.0,10.0
제주특별자치도,206720.5,2022-01-21,4938.0,15.0,10.0,5.0
서울특별시,1720428.5,2022-01-22,249065.0,1591.0,1535.0,56.0
부산광역시,447811.0,2022-01-22,28947.0,236.0,231.0,5.0
대구광역시,314944.0,2022-01-22,26564.0,444.0,442.0,2.0
인천광역시,492569.0,2022-01-22,42489.0,571.0,542.0,29.0
광주광역시,194754.0,2022-01-22,11549.0,252.0,246.0,6.0
대전광역시,265510.0,2022-01-22,13706.0,119.0,118.0,1.0
울산광역시,145712.0,2022-01-22,7708.0,51.0,50.0,1.0
세종특별자치시,90625.5,2022-01-22,2452.0,12.0,12.0,0.0
경기도,1941894.5,2022-01-22,220435.0,2426.0,2383.0,43.0
강원도,526358.0,2022-01-22,14357.0,99.0,87.0,12.0
충청북도,312931.5,2022-01-22,13048.0,150.0,143.0,7.0
충청남도,477571.5,2022-01-22,20935.0,200.0,191.0,9.0
전라북도,291091.5,2022-01-22,11862.0,171.0,167.0,4.0
전라남도,358414.0,2022-01-22,8602.0,154.0,152.0,2.0
경상북도,523901.0,2022-01-22,17799.0,207.0,198.0,9.0
경상남도,470718.5,2022-01-22,23610.0,220.0,215.0,5.0
제주특별자치도,203518.0,2022-01-22,4955.0,18.0,17.0,1.0
서울특별시,1437422.0,2022-01-23,250758.0,1694.0,1634.0,60.0
부산광역시,405377.0,2022-01-23,29239.0,292.0,287.0,5.0
대구광역시,266409.5,2022-01-23,27022.0,458.0,448.0,10.0
인천광역시,437311.0,2022-01-23,43098.0,610.0,589.0,21.0
광주광역시,167097.0,2022-01-23,11865.0,316.0,306.0,10.0
대전광역시,223240.5,2022-01-23,13865.0,159.0,151.0,8.0
울산광역시,134676.5,2022-01-23,7799.0,91.0,84.0,7.0
세종특별자치시,72079.0,2022-01-23,2476.0,24.0,23.0,1.0
경기도,1794485.0,2022-01-23,223148.0,2713.0,2667.0,46.0
강원도,491414.0,2022-01-23,14446.0,89.0,79.0,10.0
충청북도,291595.5,2022-01-23,13158.0,110.0,108.0,2.0
충청남도,431910.5,2022-01-23,21142.0,207.0,197.0,10.0
전라북도,265020.0,2022-01-23,12002.0,140.0,136.0,4.0
전라남도,341019.0,2022-01-23,8798.0,196.0,191.0,5.0
경상북도,517433.0,2022-01-23,18014.0,215.0,207.0,8.0
경상남도,440849.5,2022-01-23,23836.0,226.0,213.0,13.0
제주특별자치도,199370.5,2022-01-23,4982.0,27.0,23.0,4.0
서울특별시,1422064.0,2022-01-24,252437.0,1679.0,1626.0,53.0
부산광역시,328646.5,2022-01-24,29537.0,298.0,287.0,11.0
